ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,semestre,rango_horario
2021-0069,1,2021-08-20,2021,8,20,17:15:00,17,AV. SANTA FE 3428,AVENIDA,SANTA FE AV.,14,PEATON-AUTO,PEATON,AUTO,2021_S2,DIURNO
2021-0070,1,2021-08-28,2021,8,28,08:30:00,8,"CHILAVERT, MARTINIANO, CORONEL Y VARELA AV.",AVENIDA,"CHILAVERT, MARTINIANO, CORONEL",8,MOTO-CARGAS,MOTO,CARGAS,2021_S2,DIURNO
2021-0071,1,2021-08-31,2021,8,31,16:00:00,16,SAN LUIS 2730,CALLE,SAN LUIS,3,PEATON-MOTO,PEATON,MOTO,2021_S2,DIURNO
2021-0072,1,2021-09-01,2021,9,1,19:10:00,19,CALLAO AV. Y PARAGUAY,AVENIDA,CALLAO AV.,2,PEATON-AUTO,PEATON,AUTO,2021_S2,NOCTURNO
2021-0073,1,2021-09-18,2021,9,18,12:20:00,12,"DEL LIBERTADOR AV. Y AGOTE, LUIS DR.",AVENIDA,DEL LIBERTADOR AV.,2,BICICLETA-AUTO,BICICLETA,AUTO,2021_S2,DIURNO
2021-0074,1,2021-09-20,2021,9,20,15:00:00,15,"PAZ, GRAL. AV. Y BALBIN, RICARDO, DR. AV.",GRAL PAZ,"PAZ, GRAL. AV.",12,MULTIPLE,MOTO,MULTIPLE,2021_S2,DIURNO
2021-0075,1,2021-09-21,2021,9,21,14:30:00,14,SALTA Y BRASIL,CALLE,SALTA,1,PEATON-CARGAS,PEATON,CARGAS,2021_S2,DIURNO
2021-0076,1,2021-10-16,2021,10,16,06:15:00,6,"MORENO, PERITO AV. 2152",AVENIDA,"MORENO, PERITO AV.",7,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021_S2,DIURNO
2021-0077,1,2021-10-18,2021,10,18,07:20:00,7,DIRECTORIO AV. 1169,AVENIDA,DIRECTORIO AV.,6,MOTO-CARGAS,MOTO,CARGAS,2021_S2,DIURNO
2021-0078,1,2021-10-23,2021,10,23,06:35:00,6,INDEPENDENCIA AV. Y LA PLATA AV.,AVENIDA,INDEPENDENCIA AV.,6,MOTO-PASAJEROS,MOTO,PASAJEROS,2021_S2,DIURNO
2021-0079,1,2021-10-25,2021,10,25,03:30:00,3,TUCUMAN 3112,CALLE,TUCUMAN,3,PEATON-AUTO,PEATON,AUTO,2021_S2,NOCTURNO
2021-0080,1,2021-10-28,2021,10,28,16:16:00,16,ARENALES Y 9 DE JULIO AV.,AVENIDA,ARENALES,1,MOTO-AUTO,MOTO,AUTO,2021_S2,DIURNO
2021-0081,1,2021-11-02,2021,11,2,13:35:00,13,AU FRONDIZI SUBIDA BRANDSEN,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,MOTO-CARGAS,MOTO,CARGAS,2021_S2,DIURNO
